,CurrencyName,Monthly Volatility,Weekly Volatility,Quarterly Volatility
AED,United Arab Emirates Dirham,0.004113008837589239,0.003835541328045066,0.005383822385921811
ALL,Albanian Lek,2.0521661950589594,1.0055992179036248,3.000884993102074
AMD,Armenian Dram,0.6866241901506743,0.47136075102416597,0.8506022293861625
ARS,Argentine Peso,12.956277558563901,3.4514398490540685,10.798196251459155
AUD,Australian Dollar,2.0700347813027027,1.5104591016815578,4.77042611565134
AZN,Azerbaijani Manat,1.2115118177382869,0.7575093345408904,1.3060364412916254
BDT,Bangladeshi Taka,0.7973397324126759,0.6042879511961171,0.7658130507791335
BGN,Bulgarian Lev,1.6434241617632086,1.0078275518003759,3.1509901694213687
BRL,Brazilian Real,4.717379321430782,2.050565591184128,6.935471826458639
BYN,Belarusian Ruble,2.91955756096683,1.4440994958330027,3.4807273720593765
CAD,Canadian Dollar,1.5069304615487151,1.0400930103842263,3.163555075962996
CNY,Chinese Yuan,1.0220425923876606,0.6103258853666045,2.8224043176802494
CZK,Czech Republic Koruna,2.2676934730706324,1.3877542503454636,4.420137914249404
DKK,Danish Krone,1.6362250992779854,1.000812970324986,3.2235759106816357
DZD,Algerian Dinar,1.3271245703911476,0.4613811375872355,2.002679271291553
EGP,Egyptian Pound,2.181405661935055,1.1997173294905876,4.339574085184526
ETB,Ethiopian Birr,4.167219898288242,1.2349443310125603,4.001183369773741
EUR,Euro,1.6364266026476018,1.0122910717195122,3.2129245565104623
GBP,British Pound Sterling,1.8824492310633316,1.428206799245739,4.103611020293825
GEL,Georgian Lari,2.9141847695648497,1.8187735786470833,5.116164215985892
GHS,Ghanaian Cedi,3.045384619296371,1.3783454083462292,5.238540690268513
GTQ,Guatemalan Quetzal,0.4841218404971583,0.3572040656487261,1.0677351688071013
HKD,Hong Kong Dollar,0.1309833966239854,0.09576634801178255,0.2838839355208201
HNL,Honduran Lempira,0.6766379370402599,0.5855500703645193,0.611050565289858
HUF,Hungarian Forint,2.076974505221209,1.4973413435385718,3.7032201979537835
IDR,Indonesian Rupiah,1.8671303220478668,1.1104483400882899,1.707719827650613
ILS,Israeli New Sheqel,1.6207749321564866,0.8562084819820858,2.458037963824335
INR,Indian Rupee,1.3507841965591345,0.8153261709512317,2.7546197492306224
JMD,Jamaican Dollar,2.037467937205669,1.1458958483358788,3.447379244833427
JOD,Jordanian Dinar,0.06362352305251845,0.06317723516229083,0.10457255773174928
JPY,Japanese Yen,1.535225321288969,1.0428095357249922,2.438430443604201
KES,Kenyan Shilling,0.7821503250050725,0.4751860499878766,1.751400463045415
KGS,Kyrgystani Som,2.083579316609312,1.0827372982124575,2.0540913326515295
KRW,South Korean Won,1.5369432969431873,1.0023195427919585,3.2707615655969904
KZT,Kazakhstani Tenge,2.753442482466706,1.371231125747672,4.38761761821184
MAD,Moroccan Dirham,1.36996889146457,0.8011466003228422,2.440149286569327
MNT,Mongolian Tugrik,1.8579689352970705,1.4476084001528629,1.908374388855793
MXN,Mexican Peso,3.0636506995148025,1.905362108251004,5.3857888317154545
MYR,Malaysian Ringgit,1.183056592617338,0.6323992084938883,2.6906546456515645
NGN,Nigerian Naira,2.982757983023257,2.3962179957870346,3.4763677576578638
NOK,Norwegian Krone,2.7557297797025497,2.1296709212164453,4.729544414543044
NPR,Nepalese Rupee,1.2635834692346501,0.7792931402478459,2.650275351513925
NZD,New Zealand Dollar,2.0322278615290847,1.4567812975557335,4.178884114030203
PHP,Philippine Peso,0.9107717537805075,0.6499536393074908,2.029435605157187
PKR,Pakistani Rupee,3.5659853689897067,1.304979929008705,3.7200876662713642
PLN,Polish Zloty,2.1572996304407774,1.4304567676044968,4.200225487434767
RON,Romanian Leu,1.435586812512973,1.064247503165823,3.2617461811708055
RUB,Russian Ruble,3.346343460221324,1.9557218880669593,4.987628901191096
SAR,Saudi Riyal,0.1356166796003986,0.13080798881758074,0.2524357067242437
SEK,Swedish Krona,1.9947512411541568,1.4257798110251751,4.435185228578713
SGD,Singapore Dollar,1.0170417585766527,0.6265777349989868,2.0580754847640077
SZL,Swazi Lilangeni,3.3665628241393257,2.159835697217529,6.60757382336742
THB,Thai Baht,1.6716016919924463,0.7405092348583406,2.1450312569799737
TND,Tunisian Dinar,1.8941353239210212,1.0794800103419875,4.079663798140352
TRY,Turkish Lira,6.82068301383521,2.612771386870676,11.621646072679418
TTD,Trinidad and Tobago Dollar,0.3590357099873538,0.3714063011805215,0.40655709176815386
TWD,New Taiwan Dollar,1.1575757401059765,0.514019314391265,2.226711842740543
UAH,Ukrainian Hryvnia,1.7783184159689602,1.150865717104569,4.881120382170972
UGX,Ugandan Shilling,0.9011184679331843,0.6208037933507023,1.5348681099229127
USD,United States Dollar,0.0,0.0,0.0
UYU,Uruguayan Peso,3.4583638598246083,1.2567312060626903,4.013099024493769
UZS,Uzbekistan Som,10.963151282455188,4.765190594118772,16.12959063960046
VND,Vietnamese Dong,0.4606725931485318,0.4118971353133458,0.42504762607228447
ZAR,South African Rand,3.396911757840207,2.2303635619451567,6.651249733005645
ZWL,Zimbabwean Dollar,0.014699400948717904,0.00997107460339996,0.028252213533905262
